_attribute_set,attributes,attribute_labels_admin,attribute_labels_default
торшеры,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};vysota{6};shirina{7};vystup{8};diametr{9};dlina{10};klass_elektrobezopasnosti{11};klass_ip{12};vyklyuchatel{13};material{14};cvet{15};seriya{16};dop_dannye{17},"количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;диаметр;длина;класс электробезопасности;класс IP;выключатель;материал;цвет;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;диаметр;длина;класс электробезопасности;класс IP;выключатель;материал;цвет;серия;доп. данные"
фонарные_столбы,kolichestvo_lamp{1};tip_cokolya{2};moschnost_lampy{3};napryazhenie{4};vysota{5};dlina{6};shirina{7};vystup{8};diametr{9};ploschad_osvescheniya{10};klass_elektrobezopasnosti{11};klass_ip{12};cvetovaya_temperatura{13};material{14};seriya{15};dop_dannye{16},"количество ламп;тип цоколя;мощность лампы;напряжение;высота;длина;ширина;выступ;диаметр;площадь освещения;класс электробезопасности;класс IP;цветовая температура;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;высота;длина;ширина;выступ;диаметр;площадь освещения;класс электробезопасности;класс IP;цветовая температура;материал;серия;доп. данные"
прожекторы,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};vysota{6};dlina{7};shirina{8};vystup{9};klass_elektrobezopasnosti{10};klass_ip{11};material{12};cvet{13};seriya{14};dop_dannye{15},"количество ламп;тип цоколя;мощность лампы;напряжение;высота;длина;ширина;выступ;класс электробезопасности;класс IP;материал;цвет;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;высота;длина;ширина;выступ;класс электробезопасности;класс IP;материал;цвет;серия;доп. данные"
датчики_движения,kolichestvo_lamp{1};tip_cokolya{2};moschnost{3};napryazhenie{4};vysota{5};shirina{6};vystup{7};klass_bezopasnosti{8};ugol_obzora{9};klass_ip{10};cvet{11};material{12};seriya{13};dop_dannye{14},"количество ламп;тип цоколя;мощность;напряжение;высота;ширина;выступ;класс безопасности;угол обзора;класс IP;цвет;материал;серия;доп. данные","количество ламп;тип цоколя;мощность;напряжение;высота;ширина;выступ;класс безопасности;угол обзора;класс IP;цвет;материал;серия;доп. данные"
зеркала_с_подсветкой,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};vysota{6};shirina{7};vystup{8};glubina{9};klass_elektrobezopasnosti{10};klass_ip{11};vyklyuchatel{12};material{13};seriya{14};dop_dannye{15},"количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;глубина;класс электробезопасности;класс IP;выключатель;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;глубина;класс электробезопасности;класс IP;выключатель;материал;серия;доп. данные"
спот,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};dlina{6};vysota{7};shirina{8};vystup{9};klass_elektrobezopasnosti{10};klass_ip{11};vyklyuchatel{12};material{13};seriya{14};dop_dannye{15},"количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;класс электробезопасности;класс IP;выключатель;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;класс электробезопасности;класс IP;выключатель;материал;серия;доп. данные"
наземные,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};cvet{6};dlina{7};shirina{8};vysota{9};vystup{10};diametr{11};klass_elektrobezopasnosti{12};klass_ip{13};material{14};seriya{15};dop_dannye{16},"количество ламп;тип цоколя;мощность лампы;напряжение;цвет;длина;ширина;высота;выступ;диаметр;класс электробезопасности;класс IP;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;цвет;длина;ширина;высота;выступ;диаметр;класс электробезопасности;класс IP;материал;серия;доп. данные"
накаливания,tip_cokolya{2};moschnost{3};napryazhenie{4};dlina{5};diametr{6};ugol_rasseivaniya{7};sila_sveta{8};svetovoy_potok{9};svetootdacha_lm_w{10};klass_energoeffektivnosti{11};klass_cvetoperedachi_cri{12};cvetovaya_temperatura{13};srok_sluzhby{14};cvet{15};dimmiruemost{16};rabochee_polozhenie{17};upakovka{18};dop_dannye{19},"тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;диммируемость;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;диммируемость;рабочее положение;упаковка;доп. данные"
рефлекторные,tip_cokolya{1};moschnost{2};napryazhenie{3};dlina{4};diametr{5};ugol_rasseivaniya{6};sila_sveta{7};svetovoy_potok{8};svetootdacha_lm_w{9};klass_energoeffektivnosti{10};klass_cvetoperedachi_cri{11};cvetovaya_temperatura{12};srok_sluzhby{13};cvet{14};dimmiruemost{15};rabochee_polozhenie{16};upakovka{17};dop_dannye{18},"тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;диммируемость;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;диммируемость;рабочее положение;упаковка;доп. данные"
энергосберегающие,tip_cokolya{2};moschnost{3};napryazhenie{4};dlina{5};shirina{6};diametr{7};sila_sveta{8};nominalnaya_chastota{9};svetovoy_potok{10};svetootdacha_lm_w{11};klass_energoeffektivnosti{12};klass_cvetoperedachi_cri{13};cvetovaya_temperatura{14};srok_sluzhby{15};cvet{16};rabochee_polozhenie{17};upakovka{18};dop_dannye{19},"тип цоколя;мощность;напряжение;длина;ширина;диаметр;сила света;номинальная частота;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;ширина;диаметр;сила света;номинальная частота;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные"
люминесцентные,tip_cokolya{2};moschnost{3};napryazhenie{4};dlina{5};shirina{6};diametr{7};sila_sveta{8};svetovoy_potok{9};cvetootdacha_lm_w{10};sila_toka{11};klass_energoeffektivnosti{12};klass_cvetoperedachi_cri{13};cvetovaya_temperatura{14};srok_sluzhby{15};cvet{16};rabochee_polozhenie{17};upakovka{18};dop_dannye{19},"тип цоколя;мощность;напряжение;длина;ширина;диаметр;сила света;световой поток;cветоотдача, lm/W;сила тока;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;ширина;диаметр;сила света;световой поток;cветоотдача, lm/W;сила тока;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные"
стартеры,korpus{2};kreplenie{3};tip_cokolya{4};moschnost{5};napryazhenie{6};dlina{7};shirina{8};diametr{9};srok_sluzhby{10};cvet{11};upakovka{12};seriya{13};dop_dannye{14},"корпус;крепление;тип цоколя;мощность;напряжение;длина;ширина;диаметр;срок службы;цвет;упаковка;серия;доп. данные","корпус;крепление;тип цоколя;мощность;напряжение;длина;ширина;диаметр;срок службы;цвет;упаковка;серия;доп. данные"
галогенные,tip_cokolya{2};moschnost{3};napryazhenie{4};dlina{5};shirina{6};diametr{7};ugol_rasseivaniya{8};svetovoy_potok{9};sila_sveta{10};svetootdacha_lm_w{11};klass_energoeffektivnosti{12};klass_cvetoperedachi_cri{13};cvetovaya_temperatura{14};cvet{15};dimmiruemost{16};rabochee_polozhenie{17};srok_sluzhby{18};upakovka{19};seriya{20};dop_dannye{21},"тип цоколя;мощность;напряжение;длина;ширина;диаметр;угол рассеивания;световой поток;сила света;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;цвет;диммируемость;рабочее положение;срок службы;упаковка;серия;доп. данные","тип цоколя;мощность;напряжение;длина;ширина;диаметр;угол рассеивания;световой поток;сила света;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;цвет;диммируемость;рабочее положение;срок службы;упаковка;серия;доп. данные"
трековые_нат_система_,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};dlina{6};vysota{7};shirina{8};vystup{9};glubina{10};diametr{11};klass_elektrobezopasnosti{12};klass_ip{13};material{14};seriya{15};dop_dannye{16},"количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;глубина;диаметр;класс электробезопасности;класс IP;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;глубина;диаметр;класс электробезопасности;класс IP;материал;серия;доп. данные"
техническое,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};dlina{6};vysota{7};shirina{8};vystup{9};diametr{10};razmer_vreznogo_otverstiya{11};ploschad_osvescheniya{12};klass_elektrobezopasnosti{13};klass_ip{14};material{15};cvet{16};seriya{17};dop_funkcii{18},"количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;диаметр;размер врезного отверстия;площадь освещения;класс электробезопасности;класс IP;материал;цвет;серия;доп. функции","количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;диаметр;размер врезного отверстия;площадь освещения;класс электробезопасности;класс IP;материал;цвет;серия;доп. функции"
подводные,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};dlina{6};vysota{7};shirina{8};vystup{9};diametr{10};klass_elektrobezopasnosti{11};klass_ip{12};material{13};cvet{14};seriya{15};dop_dannye{16},"количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;диаметр;класс электробезопасности;класс IP;материал;цвет;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;диаметр;класс электробезопасности;класс IP;материал;цвет;серия;доп. данные"
садовый_декор,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};vysota{6};shirina{7};vystup{8};diametr{9};klass_elektrobezopasnosti{10};klass_ip{11};material{12};seriya{13};dop_dannye{14},"количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;диаметр;класс электробезопасности;класс IP;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;диаметр;класс электробезопасности;класс IP;материал;серия;доп. данные"
светодиодные_led_,tip_cokolya{1};tip_svetodioda{2};kolichestvo_svetodiodov{3};moschnost{4};napryazhenie{5};dlina{6};shirina{7};diametr{8};ugol_rasseivaniya{9};sila_sveta{10};svetovoy_potok{11};svetootdacha_lm_w{12};regulirovka_svetovogo_potoka{13};rabochaya_temperatura{14};klass_energoeffektivnosti{15};cvetovaya_temperatura{16};klass_ip{17};klass_cvetoperedachi_cri{18};srok_sluzhby{19};cvet{20};sposob_podklyucheniya{21};vstroennyy_datchik_dvizheniya{22};vozm_usta_vstr_datc_dviz{23};rabo_radi_datc_dviz{24};dlina_provoda{25};upakovka{26};dop_dannye{27},"тип цоколя;тип светодиода;количество светодиодов;мощность;напряжение;длина;ширина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;регулировка светового потока;рабочая температура;класс энергоэффективности;цветовая температура;класс IP;класс цветопередачи, CRI;срок службы;цвет;способ подключения;встроенный датчик движения;возможность установки встроенного датчика движения;рабочий радиус датчика движения;длина провода;упаковка;доп. данные","тип цоколя;тип светодиода;количество светодиодов;мощность;напряжение;длина;ширина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;регулировка светового потока;рабочая температура;класс энергоэффективности;цветовая температура;класс IP;класс цветопередачи, CRI;срок службы;цвет;способ подключения;встроенный датчик движения;возможность установки встроенного датчика движения;рабочий радиус датчика движения;длина провода;упаковка;доп. данные"
металлогалогенные,tip_cokolya{2};moschnost{3};napryazhenie{4};dlina{5};diametr{6};ugol_rasseivaniya{7};sila_sveta{8};svetovoy_potok{9};svetootdacha_lm_w{10};klass_cvetoperedachi_cri{11};cvetovaya_temperatura{12};srok_sluzhby{13};cvet{14};rabochee_polozhenie{15};upakovka{16};dop_dannye{17},"тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные"
силовые,seriya{1};cvet{2};tip{3};kol_vo_moduley{4};zazemlenie{5};kol_vo_kontaktov{6};tip_kontaktov{7};kol_vo_polyusov{8};konfiguraciya_polyusov{9};kol_vo_vyhodov{10};material{11};kreplenie{12};montazh{13};zaschitnye_shtorki{14};zaschitnye_kryshki{15};nominalnyy_tok{16};nominalnoe_napryazhenie{17};sechenie_provoda{18};razem{19};klass_ip{20};komplektuyuschie{21};standart{22};vysota{23};shirina{24};glubina{25};dop_dannye{26},"серия;цвет;тип;кол-во модулей;заземление;кол-во контактов;тип контактов;кол-во полюсов;конфигурация полюсов;кол-во выходов;материал;крепление;монтаж;защитные шторки;защитные крышки;номинальный ток;номинальное напряжение;сечение провода;разъем;класс IP;комплектующие;стандарт;высота;ширина;глубина;доп. данные","серия;цвет;тип;кол-во модулей;заземление;кол-во контактов;тип контактов;кол-во полюсов;конфигурация полюсов;кол-во выходов;материал;крепление;монтаж;защитные шторки;защитные крышки;номинальный ток;номинальное напряжение;сечение провода;разъем;класс IP;комплектующие;стандарт;высота;ширина;глубина;доп. данные"
газоразрядные,tip_cokolya{2};moschnost{3};napryazhenie{4};dlina{5};diametr{6};ugol_rasseivaniya{7};svetovoy_potok{8};svetootdacha_lm_w{9};klass_cvetoperedachi_cri{10};cvetovaya_temperatura{11};srok_sluzhby{12};cvet{13};rabochee_polozhenie{14};upakovka{15};dop_dannye{16},"тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;световой поток;светоотдача, lm/W;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;световой поток;светоотдача, lm/W;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные"
ПРА,moschnost_lampy{1};kol_vo_lamp_v_svetilnike{2};summarnaya_moschnost{3};tip_cokolya{4};napryazhenie{5};napryazhenie_zazhiganiya{6};tip_akkumulyatora{7};emkost_akkumulyatora{8};vremya_avariynoy_raboty{9};tok_razryada{10};tok_zaryada{11};puskovoy_tok{12};nominalnyy_tok{13};tok_lampy{14};setevoy_tok{15};chastota{16};rabochaya_chastota{17};svetovoy_potok{18};svetootdacha{19};dlina{20};vysota{21};shirina{22};diametr{23};srok_sluzhby{24};klass_bezopastnosti{25};klass_energoeffektivnosti{26};dimmiruemost{27};vremya_zaryadki_akkumulyatora{28};klass_ip{29};upakovka{30};dop_dannye{31},"мощность лампы;кол-во ламп в светильнике;суммарная мощность;тип цоколя;напряжение;напряжение зажигания;тип аккумулятора;емкость аккумулятора;время аварийной работы;ток разряда;ток заряда;пусковой ток;номинальный ток;ток лампы;сетевой ток;частота;рабочая частота;световой поток;светоотдача;длина;высота;ширина;диаметр;срок службы;класс безопастности;класс энергоэффективности;диммируемость;время зарядки аккумулятора;класс IP;упаковка;доп. данные","мощность лампы;кол-во ламп в светильнике;суммарная мощность;тип цоколя;напряжение;напряжение зажигания;тип аккумулятора;емкость аккумулятора;время аварийной работы;ток разряда;ток заряда;пусковой ток;номинальный ток;ток лампы;сетевой ток;частота;рабочая частота;световой поток;светоотдача;длина;высота;ширина;диаметр;срок службы;класс безопастности;класс энергоэффективности;диммируемость;время зарядки аккумулятора;класс IP;упаковка;доп. данные"
электронные,kolichestvo_lamp{1};tip_lampy{2};moschnost{3};napryazhenie{4};chastota{5};nominalnyy_tok{6};napryazhenie_na_vyhode{7};koefficient_moschnosti{8};KPD{9};srok_sluzhby{10};klass_zaschity{11};ctepen_zaschity_ip{12};dlina{13};shirina{14};vysota{15};diametr{16};upakovka{17};dop_dannye{18},"количество ламп;тип лампы;мощность;напряжение;частота;номинальный ток;напряжение на выходе;коэффициент мощности;КПД;срок службы;класс защиты;cтепень защиты IP;длина;ширина;высота;диаметр;упаковка;доп. данные","количество ламп;тип лампы;мощность;напряжение;частота;номинальный ток;напряжение на выходе;коэффициент мощности;КПД;срок службы;класс защиты;cтепень защиты IP;длина;ширина;высота;диаметр;упаковка;доп. данные"
индикаторные_и_сигнальные,tip_cokolya{2};moschnost{3};napryazhenie{4};dlina{5};diametr{6};ugol_rasseivaniya{7};svetovoy_potok{8};klass_energoeffektivnosti{9};klass_cvetoperedachi_cri{10};cvetovaya_temperatura{11};srok_sluzhby{12};cvet{13};rabochee_polozhenie{14};upakovka{15};dop_dannye{16},"тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;световой поток;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;световой поток;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные"
удлинители,napryazhenie{1};dlina{2};vysota{3};shirina{4};diametr{5};upakovka{6};dop_dannye{7},"напряжение;длина;высота;ширина;диаметр;упаковка;доп. данные","напряжение;длина;высота;ширина;диаметр;упаковка;доп. данные"
сетевые_фильтры,napryazhenie{1};dlina{2};vysota{3};shirina{4};upakovka{5};dop_dannye{6},"напряжение;длина;высота;ширина;упаковка;доп. данные","напряжение;длина;высота;ширина;упаковка;доп. данные"
ИЗУ,tip_lampy{1};tip_cokolya{2};moschnost{3};napryazhenie{4};chastota{5};max_tok_lampy{6};poterya_moschnosti{7};napryazhenie_zazhiganiya{8};emkost_nagruzki{9};sobstvennyy_nagrev{10};max_temperatura_korpusa{11};dlina{12};vysota{13};shirina{14};diametr{15};kreplenie{16};kontaktnye_zazhimy{17};srok_sluzhby{18};upakovka{19};dop_dannye{20},"тип лампы;тип цоколя;мощность;напряжение;частота;max ток лампы;потеря мощности;напряжение зажигания;емкость нагрузки;собственный нагрев;max температура корпуса;длина;высота;ширина;диаметр;крепление;контактные зажимы;срок службы;упаковка;доп. данные","тип лампы;тип цоколя;мощность;напряжение;частота;max ток лампы;потеря мощности;напряжение зажигания;емкость нагрузки;собственный нагрев;max температура корпуса;длина;высота;ширина;диаметр;крепление;контактные зажимы;срок службы;упаковка;доп. данные"
соединительные_кабеля,dlina{2};cvet{3},длина;цвет,длина;цвет
антивандальные_тросики,napryazhenie{1};upakovka{2},напряжение;упаковка,напряжение;упаковка
запасные_зажимы,dop_dannye{1},"доп. данные","доп. данные"
уплотнительные_кольца,dop_dannye{1},"доп. данные","доп. данные"
пульты,shirina{2};dlina{3};vysota{4};klass_ip{5};klass_zaschity{6};istochnik_pitaniya{7};napryazhenie{8};srok_sluzhby{9};upakovka{10},"ширина;длина;высота;класс IP;класс защиты;источник питания;напряжение;срок службы;упаковка","ширина;длина;высота;класс IP;класс защиты;источник питания;напряжение;срок службы;упаковка"
ресиверы,napryazhenie{1};moschnost{2};tip_cokolya{3};srok_sluzhby{4};upakovka{5},"напряжение;мощность;тип цоколя;срок службы;упаковка","напряжение;мощность;тип цоколя;срок службы;упаковка"
автомобильные,tip_cokolya{1};moschnost{2};napryazhenie{3};dlina{4};vysota{5};shirina{6};diametr{7};svetovoy_potok{8};svetootdacha_lm_w{9};klass_cvetoperedachi_cri{10};cvetovaya_temperatura{11};srok_sluzhby{12};cvet{13};upakovka{14};dop_dannye{15},"тип цоколя;мощность;напряжение;длина;высота;ширина;диаметр;световой поток;светоотдача, lm/W;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;высота;ширина;диаметр;световой поток;светоотдача, lm/W;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;упаковка;доп. данные"
соединительные_системы,dlina_provoda{2};sechenie_provoda{3};napryazhenie{4};maksimalnyy_tok{5};dlina{6};shirina{7};vysota{8};upakovka{9},"длина провода;сечение провода;напряжение;максимальный ток;длина;ширина;высота;упаковка","длина провода;сечение провода;напряжение;максимальный ток;длина;ширина;высота;упаковка"
компоненты_системы_управления_светом,cvet{1};dop_dannye{2},"цвет;доп. данные","цвет;доп. данные"
контроллеры,tip_cokolya{1};napryazhenie{2};moschnost{3};dlina{4};shirina{5};vysota{6};upakovka{7};dop_dannye{8},"тип цоколя;напряжение;мощность;длина;ширина;высота;упаковка;доп. данные","тип цоколя;напряжение;мощность;длина;ширина;высота;упаковка;доп. данные"
телефонные,seriya{1};cvet{2};tip{3};kol_vo_moduley{4};zazemlenie{5};zaschitnye_shtorki{6};zaschitnye_kryshki{7};kolichestvo_kontaktov{8};material{9};kreplenie{10};montazh{11};nominalnyy_tok{12};napryazhenie{13};kategoriya{14};sechenie_provoda{15};razem{16};tip_podklyucheniya{17};vyhod{18};skorost_peredachi_dannyh{19};klass_ip{20};komplektuyuschie{21};vysota{22};shirina{23};glubina{24};dop_dannye{25},"серия;цвет;тип;кол-во модулей;заземление;защитные шторки;защитные крышки;количество контактов;материал;крепление;монтаж;номинальный ток;напряжение;категория;сечение провода;разъем;тип подключения;выход;скорость передачи данных;класс IP;комплектующие;высота;ширина;глубина;доп. данные","серия;цвет;тип;кол-во модулей;заземление;защитные шторки;защитные крышки;количество контактов;материал;крепление;монтаж;номинальный ток;напряжение;категория;сечение провода;разъем;тип подключения;выход;скорость передачи данных;класс IP;комплектующие;высота;ширина;глубина;доп. данные"
клавишные,seriya{2};cvet{3};tip{4};kol_vo_kontaktov{5};tip_kontaktov{6};kol_vo_polyusov{7};material{8};vid_montazha{9};montazh{10};nominalnyy_tok{11};nominalnaya_nagruzka{12};nominalnoe_napryazhenie{13};diapazon_moschnosti{14};sechenie_provoda{15};klass_ip{16};kolichestvo_klavish{17};upravlenie{18};komplektuyuschie{19};vysota{20};shirina{21};glubina{22};dop_dannye{23},"серия;цвет;тип;кол-во контактов;тип контактов;кол-во полюсов;материал;вид монтажа;монтаж;номинальный ток;номинальная нагрузка;номинальное напряжение;диапазон мощности;сечение провода;класс IP;количество клавиш;управление;комплектующие;высота;ширина;глубина;доп. данные","серия;цвет;тип;кол-во контактов;тип контактов;кол-во полюсов;материал;вид монтажа;монтаж;номинальный ток;номинальная нагрузка;номинальное напряжение;диапазон мощности;сечение провода;класс IP;количество клавиш;управление;комплектующие;высота;ширина;глубина;доп. данные"
проходные,seriya{2};cvet{3};tip{4};kol_vo_kontaktov{5};tip_kontaktov{6};kol_vo_polyusov{7};material{8};montazh{9};nominalnyy_tok{10};nominalnaya_nagruzka{11};nominalnoe_napryazhenie{12};diapazon_moschnosti{13};sechenie_provoda{14};klass_ip{15};kolichestvo_klavish{16};upravlenie{17};komplektuyuschie{18};vysota{19};shirina{20};glubina{21};dop_dannye{22},"серия;цвет;тип;кол-во контактов;тип контактов;кол-во полюсов;материал;монтаж;номинальный ток;номинальная нагрузка;номинальное напряжение;диапазон мощности;сечение провода;класс IP;количество клавиш;управление;комплектующие;высота;ширина;глубина;доп. данные","серия;цвет;тип;кол-во контактов;тип контактов;кол-во полюсов;материал;монтаж;номинальный ток;номинальная нагрузка;номинальное напряжение;диапазон мощности;сечение провода;класс IP;количество клавиш;управление;комплектующие;высота;ширина;глубина;доп. данные"
перекрестные_промежуточные_,seriya{2};cvet{3};tip{4};kol_vo_kontaktov{5};tip_kontaktov{6};kol_vo_polyusov{7};material{8};montazh{9};nominalnyy_tok{10};nominalnyy_nagruzka{11};nominalnoe_napryazhenie{12};diapazon_moschnosti{13};sechenie_provoda{14};klass_ip{15};kol_vo_klavish{16};upravlenie{17};komplektuyuschie{18};vysota{19};shirina{20};glubina{21};dop_dannye{22},"серия;цвет;тип;кол-во контактов;тип контактов;кол-во полюсов;материал;монтаж;номинальный ток;номинальный нагрузка;номинальное напряжение;диапазон мощности;сечение провода;класс IP;кол-во клавиш;управление;комплектующие;высота;ширина;глубина;доп. данные","серия;цвет;тип;кол-во контактов;тип контактов;кол-во полюсов;материал;монтаж;номинальный ток;номинальный нагрузка;номинальное напряжение;диапазон мощности;сечение провода;класс IP;кол-во клавиш;управление;комплектующие;высота;ширина;глубина;доп. данные"
вывода_кабеля,seriya{2};cvet{3};kol_vo_moduley{4};zazemlenie{5};zaschitnye_shtorki{6};zaschitnye_kryshki{7};kol_vo_kontaktov{8};material{9};kreplenie{10};montazh{11};nominalnyy_tok{12};razem{13};kategoriya{14};sechenie_provoda{15};klass_ip{16};dop_dannye{17},"серия;цвет;кол-во модулей;заземление;защитные шторки;защитные крышки;кол-во контактов;материал;крепление;монтаж;номинальный ток;разъем;категория;сечение провода;класс IP;доп. данные","серия;цвет;кол-во модулей;заземление;защитные шторки;защитные крышки;кол-во контактов;материал;крепление;монтаж;номинальный ток;разъем;категория;сечение провода;класс IP;доп. данные"
одинарные,seriya{2};cvet{3};poverhnost{4};material{5};klass_ip{6};vysota{7};dlina{8};glubina{9};tolschina{10};radius_ckrugleniya_uglov{11};montazh{12};dop_dannye{13},"серия;цвет;поверхность;материал;класс IP;высота;длина;глубина;толщина;радиус cкругления углов;монтаж;доп. данные","серия;цвет;поверхность;материал;класс IP;высота;длина;глубина;толщина;радиус cкругления углов;монтаж;доп. данные"
двойные,seriya{1};cvet{2};poverhnost{3};material{4};klass_ip{5};vysota{6};dlina{7};glubina{8};tolschina{9};radius_ckrugleniya_uglov{10};montazh{11};dop_dannye{12},"серия;цвет;поверхность;материал;класс IP;высота;длина;глубина;толщина;радиус cкругления углов;монтаж;доп. данные","серия;цвет;поверхность;материал;класс IP;высота;длина;глубина;толщина;радиус cкругления углов;монтаж;доп. данные"
четверные,seriya{1};cvet{2};poverhnost{3};material{4};klass_ip{5};vysota{6};dlina{7};glubina{8};tolschina{9};radius_ckrugleniya_uglov{10};montazh{11};dop_dannye{12},"серия;цвет;поверхность;материал;класс IP;высота;длина;глубина;толщина;радиус cкругления углов;монтаж;доп. данные","серия;цвет;поверхность;материал;класс IP;высота;длина;глубина;толщина;радиус cкругления углов;монтаж;доп. данные"
тройные,seriya{1};cvet{2};poverhnost{3};material{4};klass_ip{5};vysota{6};dlina{7};glubina{8};tolschina{9};radius_ckrugleniya_uglov{10};montazh{11};dop_dannye{12},"серия;цвет;поверхность;материал;класс IP;высота;длина;глубина;толщина;радиус cкругления углов;монтаж;доп. данные","серия;цвет;поверхность;материал;класс IP;высота;длина;глубина;толщина;радиус cкругления углов;монтаж;доп. данные"
коммутационные,seriya{1};cvet{2};dop_dannye{4},"серия;цвет;доп. данные","серия;цвет;доп. данные"
терморегуляторов,seriya{1};cvet{2};dop_dannye{4},"серия;цвет;доп. данные","серия;цвет;доп. данные"
